District,Latitude,Longitude,Name,NewGSNo,ProjectID,SchemeNo
,,,,,,
,,,,,,
,,,,,,
Islamabad,,,Digital Economy Enhancement Project (Component-II-BOI),4.0,9224,42000800000000
Islamabad,,,Sustainable Development Goals Achievement Programme (SDGs),5.0,8694,1000750000000
Islamabad,33.70916,73.050392,"Rehabilitation and Upgradation of building of Regional Office, NAP, Karachi",9.0,8257,1000600000000
Multiple Province,,,"Formulation of National Urban Strategy and Guidelines to reduce the impacts of urban flooding, droughts and climate disasters in Pakistan",14.0,9197,6980670000000
Multiple Province,,,Green Skills for Sustainable Development: Promoting Green Entrepreneurship and Innovation in Pakistan.,15.0,9196,6980670000000
Multiple Province,,,"Construction of Dualized Sialkot – Eminabad Road up to Kamoki including link to Motorway Length: 65.10-Kilometer (Section Kilometer No. 07 / 20 (Ghatto Rora) to 37 / 20 (Dharm Kot), including link to Motorway (3.40-Kilometer), Length: = 33.40-Kilometer), in District Sialkot",87.0,8482,9980620000000
Multiple Province,,,"Interchange on Jamaldin Wali, District Rahim Yar Khan",89.0,5775,9980620000000
Multiple Province,,,PC-I FOR WIDENING & IMPROVEMENT OF PRIORITY SECTIONS OF N-5 (PHASE-I) 210 KMPHASE I-A• SECTION-2 RANIPUR - SUKKUR ROAD (70 Km) • SECTION-7 RAWALPINDI - HASSANABDAL ROAD (40 Km)• SECTION-8 NOWSHERA-PESHAWAR (31 Km)PHASE I-B• SECTION-4 LAHORE –GUJRANWALA (68 Km)• NEW NAI BARAN BRIDGE (1 Km),90.0,8051,9990620000000
Multiple Province,,,Lala Musa Bypass of N-5,91.0,9199,9980620000000
Islamabad,33.58837,72.91743,Acquisition of Land from CDA for Establishing Medical City at Islamabad by National University of Medical Sciences (Phase-1) ,105.0,9107,10000700000000
Islamabad,33.58837,72.91743,Acquisition of Land from CDA for Establishing Medical City at Islamabad by National University of Medical Sciences (Phase-1) ,105.0,9107,10000700000000
Islamabad,,,Establishment of Emerging Technologies Lab - Submitted,112.0,6929,10070800000000
Rawalpindi,33.626057,73.071442,"Upgradation / Expansion of Armed Forces Institute of Cardiology (AFIC) and National Institute of Heart Diseases (NIHD), Rawalpindi",115.0,8198,10000700000000
Multiple Province,,,Digitalization of In-House Processes & Automation of Examination System of Federal Public Service Commission (FPSC),121.0,8594,4980780000000
Islamabad,33.6808,73.0374,DISRUPTIVE EDUCATION: Transforming schools into foundries of emerging tech Revised,133.0,7609,14000700000000
Multiple Province,33.738045,73.084488,"Establishment of Daanish Schools in AJK, GB and Balochitan",135.0,7731,14000700000000
Islamabad,,,"Centre of Excellence for Autism Children at H-11/4, Islamabad",136.0,9066,14000700000000
Islamabad,33.6912,72.8291,"Establishment of Islamabad Model College for Girls (Prep-XII) B-17, Multi Gardens, Islamabad",137.0,9060,14000700000000
Islamabad,33.738045,73.084488,"Establishment of Islamabad Model College for Girls (Prep-XII) F-17/2, Multi Professional Cooperative Housing Society, Islamabad",138.0,9061,14000700000000
Sukkur,28.2917,68.893,"Improvement of Road from Rohri to Guddu Barrage @ M-5 Interchange Sadiqabad via Khapur Mahar, Mirpur Mathelo & Mureed Shakh 150.00 Kms",190.0,2718,50020600000000
Chitral Upper,36.270843,72.254494,Widening /carpeting of Booni Buzund Torkhow road District Chitral Upper- 28Km,201.0,8096,50040600000000
Killa Saifullah,,,construction of border terminal at Pak afghan border badini with B/T road from obshtai to khan dagar main badini road 40Km District killa saifullah ,238.0,7858,57000600000000
Dera Bugti,29.5469,69.5718,Construction of Road from Baikar to Mari Top (56.00 Km) District Dera Bugti.,240.0,9201,57000600000000
Quetta,29.9942,66.9886,"Construction of Provincial Assembly Building, Quetta",241.0,9202,57000600000000
Dera Bugti,29.5469,69.5718,Construction of Ghand Dam Baker Dera Bugti,242.0,9203,57000600000000
Panjgur,26.97462,64.09909,Construction of 110 Km Road Chedagi Iran Border to Panjgur,243.0,9204,57000600000000
Loralai,30.3806,68.5963,Construction of Black Top Northern Bypass Road Loralai (15.50 Km),244.0,9205,57000600000000
Multiple District,31.3497,69.4665,Construction of Black top Road from Zhob to Mekhtar Via Murgha Kibzai (N-50 and N 70)length 103 Km,245.0,9206,57000600000000
Chagai,28.9604,61.5778,Construction of Black Top Roads From Killi Sardar Abdul Rahim Khilji Taftan District Chaghi,246.0,9207,57000600000000
Washuk,27.90943,65.873901,Public Sector Development Program for Agriculture cum Water Supply in Various Killis of Tehsil Besima and Mashkhail District Washuk.,260.0,5434,17030600000000
Multiple District,29.119229,67.569013,"Development schemes in District Kachhi, Jhal Magsi and Naseerabad (10 no.s schemes)",261.0,6087,17030600000000
Multiple District,33.9472,73.9104,AJK Block Allocation 2025-26,285.0,8954,50050800000000
Gilgit,,,Establishment of Medical & Nursing College at Gilgit,305.0,4676,15060700000000
Multiple District,,,Establishment of Regional Grids at Gilgit-Baltistan (Revised),306.0,4681,15060600000000
Hunza,36.3369,74.8675,Greater Water Supply Scheme For Central Hunza from Attabad Lake,311.0,4747,15060600000000
Shigar,35.476378,75.697504,"Establishment of Mountaineering Institute Shigar, Gilgit Baltistan",313.0,9053,24001000000000
Multiple Province,,,Strengthening of Labs and Research Facilities at Public Sector Universities,437.0,6022,41980700000000
Multiple Province,,,"Allama Muhammad Iqbal Scholarships for Bangladesh, Uzbekistan and Friendly Countries, HEC",443.0,9209,41980700000000
Multiple Province,,,Construction of New Academic Block at Emerson University Multan,444.0,9210,41980700000000
Multiple Province,,,Development of University of Okara,445.0,8376,41010700000000
Multiple Province,,,Establishing a campus of Pakistan Institute of Fashion Design at Karachi,446.0,9211,41980700000000
Multiple Province,,,"Establishment of National Institute of Science & Technology, Rajanpur (PM Directive)",447.0,9212,41980700000000
Multiple Province,,,"Establishment of NCA Karachi Campus, Karachi",448.0,9213,41980700000000
Multiple Province,,,Hostels for UET Lahore and Sub-Campuses,449.0,9214,41980700000000
Multiple Province,,,Pak-UK Education Gateway (Phase-II)-HEC,450.0,9215,41980700000000
Multiple Province,,,"Prime Minister's Scheme for Enabling Youth with Physical Challenges at HEIs through Electric Wheelchairs, Laptops for Blinds, Audio-Visual Aids-HEC",451.0,9216,41980700000000
Multiple Province,,,University Campus at Muzaffargarh,452.0,9217,41980700000000
Multiple Province,,,"UVAS Campus, Pattoki",453.0,9218,41980700000000
Multiple Province,,,Strengthening of Academic and Research Programs at Bahria University Lahore Campus,454.0,9219,41980700000000
Hyderabad,25.4443,68.3813,Hyderabad Urban Infrastructure Development Package(Revamping & Rehabilitation),456.0,8937,17020600000000
Karachi Central,,,Improvement/Re-Habilitation Of Different Roads /Streets Including Water & Sewerage System At Various Union Councils District Central Karachi,459.0,2886,17020600000000
Karachi West,,,"Rehabilitation of Infrastructure Works (Construction of road, waterline, sewerage system, parks & playgrounds, CC-tuff) Orangi Town District West Karachi",473.0,6127,17020600000000
Karachi Central,,,"Rehabilitation of Infrastructure Works (Construction of roads, footpath, water supply, sewerage, public parks & playgrounds) in Nazimabad and Liaquatabad Central Karachi",474.0,6129,17020600000000
Islamabad,33.73514714,73.0937487,Construction of Federal Election Academy and other offices of election Commission of Pakistan,478.0,8020,17070600000000
Mansehra,34.3327,73.1972,Construction of RCC Pre-Stressed Bridge Mari Safdar Shah at Siren River UC Behrkund Tehsil & District Mansehra,480.0,9220,17000600000000
Mansehra,34.3327,73.1972,Construction of RCC Pre-Stressed Bridge at Shah Da Panja at Siren River UC Behrkund Tehsil & District Mansehra,481.0,9221,17000600000000
Islamabad,33.7319,73.0922,Strengthening the Engineering Industry (SEI),491.0,3730,19070800000000
Malir,,,"Development of Block-A (500 acres) of Phase-I (1500 acres) of The Karachi Industrial Park (Federal SEZ) on Approx. 6400 Acres of Pakistan Steel Mills Land, Karachi",493.0,8977,19000600000000
Islamabad,33.709162,73.057258,1000 Industrial Stitching Units (Phase-II),494.0,8432,19000800000000
Islamabad,33.69723,73.06817,CENTRAL MONITORING UNIT,495.0,7775,20070700000000
Gilgit,35.26491,75.85228,REHABILITATION & UP-GRADATION OF GILGIT AND SKARDU RADIO STATIONS (REPLACEMENT OF 50-KW MW TRANSMITTERS),503.0,8627,20000700000000
Multiple Province,34.01364,71.523063,SAUTUL QURAN FM RADIO NETWORK PHASE-IV (PESHAWAR-KARACHI MOTORWAYS),504.0,8633,20000700000000
Islamabad,,,"Prime Minister's Initiatives - Support for IT Startups, Specialized IT Trainings and Venture Capital",511.0,6534,21990800000000
Multiple Province,33.73514714,73.0937487,National Semiconductor HR Development Program (NSHRDP)PHASE-I,515.0,7888,21000800000000
Multiple Province,33.73514714,73.0937487,Revamping IT Industry Landscape',516.0,8054,21990800000000
Multiple Province,33.6996,73.0362,National Artificial Intelligence (AI) Advancement Initiative (NAAI),517.0,8662,21980800000000
Islamabad,,,GDPR-Driven ISO Compliance & IT Exports Enhancement Program,518.0,8428,21990800000000
Islamabad,,,Smart Islamabad Initiative,519.0,9191,21000800000000
Islamabad,33.706009,73.093911,"Providing and Installation of Electronic Displays and Scoring System of Different Sports Facilities at Pakistan Sports Complex, Islamabad and PSB Coaching Centers",524.0,8052,23070900000000
Skardu,35.3,75.6167,Construction of High Altitude PSB Coaching Centre at Skardu,527.0,9152,23000900000000
Islamabad,33.738045,73.084488,"Establishment of Arshad Nadeem / Shahbaz Sharif High Performance Sports Academy at Pakistan Sports Complex, Islamabad",528.0,9153,23000900000000
Faisalabad,31.4273,73.1166,Construction of Multipurpose Sports Hall at Faisalabad,529.0,9148,23000900000000
Islamabad,,,Construction of Model Addiction treatment & Rehabilitation Center (Matric) at Humak Islamabad,543.0,8470,22000600000000
Multiple Province,,,Digital Economy Enhancement (DEEP),544.0,9188,22980600000000
Islamabad,,,"Extension of Safe City, Islamabad",545.0,7951,22070800000000
Islamabad,,,Islamabad Infrastructure Development,546.0,9189,22000600000000
Islamabad,33.6538,73.01266,International Standard Purpose Build Conventional Forensics Facilities for NFA,547.0,9190,22000600000000
Islamabad,33.673,72.9841,Hosting Community Support Program (HCSP),549.0,9002,24000800000000
Karachi Central,24.855665,67.02448,"Construction of New Building for Supreme Court, Branch Registry at Karachi ""Construction of Federal Courts/Tribunals Complex at Karachi""",554.0,443,25020600000000
Islamabad,33.733343,73.094455,"Strengthening and Capacity Enhancement of Legal Wings of Ministry of Law and Justice and Federal Ministries/Division, Islamabad (Revised)",555.0,2202,25070800000000
Quetta,30.200883,67.001424,Construction of Admin Block of Supreme Court Branch Registry at Quetta,557.0,9192,25000600000000
Karachi Central,,,"Expansion of Supreme Court, Branch Registry at Karachi",558.0,8494,25000600000000
Islamabad,,,"Construction of Office of the Attorney General of Pakistan, Office of Advocate/ Prosecutor General and other Allied Offices in connection with Supreme Court of Pakistan (PC-II), Islamabad",559.0,8476,25000600000000
Gwadar,,,Construction of Eastbay Expressway Phase-II,564.0,8488,32000600000000
Gwadar,,,Infrastructure Works of Off-Dock Terminal at Gwadar,565.0,8484,32000600000000
Multiple Province,33.738,73.0845,"National Program for Animal Disease Surveillance, FMD Control and Animal Track and Traceability – in Compliance with National and International Standards",573.0,8765,27980800000000
Multiple Province,33.678,73.125,National Agriculture Productivity Enhancement Program - Feasibility and Project,574.0,8968,27980800000000
Multiple Province,30.3753,69.3451,Pakistan Model Agricultural Research Centre (Feasibility Study),575.0,8030,27980800000000
Sheikhupura,31.7131,73.9783,"Establishment of Agriculture Research Institute (ARI) Sheikhupura, Punjab",576.0,9186,27000800000000
Multiple Province,33.7351738,73.093865,Pakistan’s National Sugar & Sugarcane Monitoring System: A Digital Revolution for Sustainable Growth & Production Efficiency,577.0,8908,27980800000000
Islamabad,33.7351738,73.093865,Financial Incentive Program for Sustainable Agri-business and Aquaculture Development,578.0,8846,27000800000000
Multan,30.148,71.44,Revival of Cotton in Pakistan: Innovation for a sustainable future,579.0,8949,27000800000000
Multiple Province,32.785,71.265,"PAK-SAR-ZAMEEN CARD (PSZC): Integrating GIS and Remote Sensing for Sustainable, Digitally Advanced, and Financially Inclusive Agriculture in Pakistan",580.0,8864,27000800000000
Islamabad,,,One Health Workforce Development and Coordination towards Pandemic Readiness (Public Private Partnership Initiative),596.0,6930,28000700000000
Islamabad,,,"Jinnah Medical Complex and Research Centre, Islamabad",601.0,8975,28000700000000
Islamabad,33.7017,73.0228,"Designing and Construction of of Iqbal National Monument and Library Complex, Islamabad.",607.0,7837,43000800000000
Multiple Province,,,"Establishment of Allama Iqbal Culture and Research Center, Sialkot. Iqbal Academy Lahore.",608.0,8574,43980700000000
Multiple Province,,,"Establishment of National Cultural Heritage Institute of Pakistan, Islamabad (Grant in Aid), Department of Archaeology and Museum (DOAM).",609.0,8559,43980700000000
Multiple Province,,,"Revamping / Renovation of Aiwan-e-Nawardat-e-Quiad-i-Azam (Quaid's Museum) at Mazar-e-Quaid, Karachi (Quaid-i-Azam Mazar Management Board).",610.0,8605,43980700000000
