NewGSNo,SchemeNo,ProjectID,Name,Latitude,Longitude,District
4,4.20008E+13,9224,Digital Economy Enhancement Project (Component-II-BOI),,,Islamabad
5,1.00075E+12,8694,Sustainable Development Goals Achievement Programme (SDGs),,,Islamabad
9,1.0006E+12,8257,"Rehabilitation and Upgradation of building of Regional Office, NAP, Karachi",33.70916,73.050392,Islamabad
14,6.98067E+12,9197,"Formulation of National Urban Strategy and Guidelines to reduce the impacts of urban flooding, droughts and climate disasters in Pakistan",,,Multiple Province
15,6.98067E+12,9196,Green Skills for Sustainable Development: Promoting Green Entrepreneurship and Innovation in Pakistan.,,,Multiple Province
87,9.98062E+12,8482,"Construction of Dualized Sialkot – Eminabad Road up to Kamoki including link to Motorway Length: 65.10-Kilometer (Section Kilometer No. 07 / 20 (Ghatto Rora) to 37 / 20 (Dharm Kot), including link to Motorway (3.40-Kilometer), Length: = 33.40-Kilometer), in District Sialkot",,,Multiple Province
89,9.98062E+12,5775,"Interchange on Jamaldin Wali, District Rahim Yar Khan",,,Multiple Province
90,9.99062E+12,8051,PC-I FOR WIDENING & IMPROVEMENT OF PRIORITY SECTIONS OF N-5 (PHASE-I) 210 KMPHASE I-A• SECTION-2 RANIPUR - SUKKUR ROAD (70 Km) • SECTION-7 RAWALPINDI - HASSANABDAL ROAD (40 Km)• SECTION-8 NOWSHERA-PESHAWAR (31 Km)PHASE I-B• SECTION-4 LAHORE –GUJRANWALA (68 Km)• NEW NAI BARAN BRIDGE (1 Km),,,Multiple Province
91,9.98062E+12,9199,Lala Musa Bypass of N-5,,,Multiple Province
105,1.00007E+13,9107,Acquisition of Land from CDA for Establishing Medical City at Islamabad by National University of Medical Sciences (Phase-1) ,33.58837,72.91743,Islamabad
105,1.00007E+13,9107,Acquisition of Land from CDA for Establishing Medical City at Islamabad by National University of Medical Sciences (Phase-1) ,33.58837,72.91743,Islamabad
112,1.00708E+13,6929,Establishment of Emerging Technologies Lab - Submitted,,,Islamabad
114,1.00008E+13,9187,Quantum Valley Pakistan (Phase-I),33.6862,73.1486,Islamabad
115,1.00007E+13,8198,"Upgradation / Expansion of Armed Forces Institute of Cardiology (AFIC) and National Institute of Heart Diseases (NIHD), Rawalpindi",33.626057,73.071442,Rawalpindi
121,4.98078E+12,8594,Digitalization of In-House Processes & Automation of Examination System of Federal Public Service Commission (FPSC),,,Multiple Province
133,1.40007E+13,7609,DISRUPTIVE EDUCATION: Transforming schools into foundries of emerging tech Revised,33.6808,73.0374,Islamabad
135,1.40007E+13,7731,"Establishment of Daanish Schools in AJK, GB and Balochitan",33.738045,73.084488,Multiple Province
136,1.40007E+13,9066,"Centre of Excellence for Autism Children at H-11/4, Islamabad",,,Islamabad
137,1.40007E+13,9060,"Establishment of Islamabad Model College for Girls (Prep-XII) B-17, Multi Gardens, Islamabad",33.6912,72.8291,Islamabad
138,1.40007E+13,9061,"Establishment of Islamabad Model College for Girls (Prep-XII) F-17/2, Multi Professional Cooperative Housing Society, Islamabad",33.738045,73.084488,Islamabad
190,5.00206E+13,2718,"Improvement of Road from Rohri to Guddu Barrage @ M-5 Interchange Sadiqabad via Khapur Mahar, Mirpur Mathelo & Mureed Shakh 150.00 Kms",28.2917,68.893,Sukkur
201,5.00406E+13,8096,Widening /carpeting of Booni Buzund Torkhow road District Chitral Upper- 28Km,36.270843,72.254494,Chitral Upper
238,5.70006E+13,7858,construction of border terminal at Pak afghan border badini with B/T road from obshtai to khan dagar main badini road 40Km District killa saifullah ,,,Killa Saifullah
240,5.70006E+13,9201,Construction of Road from Baikar to Mari Top (56.00 Km) District Dera Bugti.,29.5469,69.5718,Dera Bugti
241,5.70006E+13,9202,"Construction of Provincial Assembly Building, Quetta",29.9942,66.9886,Quetta
242,5.70006E+13,9203,Construction of Ghand Dam Baker Dera Bugti,29.5469,69.5718,Dera Bugti
243,5.70006E+13,9204,Construction of 110 Km Road Chedagi Iran Border to Panjgur,26.97462,64.09909,Panjgur
244,5.70006E+13,9205,Construction of Black Top Northern Bypass Road Loralai (15.50 Km),30.3806,68.5963,Loralai
245,5.70006E+13,9206,Construction of Black top Road from Zhob to Mekhtar Via Murgha Kibzai (N-50 and N 70)length 103 Km,31.3497,69.4665,Multiple District
246,5.70006E+13,9207,Construction of Black Top Roads From Killi Sardar Abdul Rahim Khilji Taftan District Chaghi,28.9604,61.5778,Chagai
260,1.70306E+13,5434,Public Sector Development Program for Agriculture cum Water Supply in Various Killis of Tehsil Besima and Mashkhail District Washuk.,27.90943,65.873901,Washuk
261,1.70306E+13,6087,"Development schemes in District Kachhi, Jhal Magsi and Naseerabad (10 no.s schemes)",29.119229,67.569013,Multiple District
285,5.00508E+13,8954,AJK Block Allocation 2025-26,33.9472,73.9104,Multiple District
305,1.50607E+13,4676,Establishment of Medical & Nursing College at Gilgit,,,Gilgit
306,1.50606E+13,4681,Establishment of Regional Grids at Gilgit-Baltistan (Revised),,,Multiple District
311,1.50606E+13,4747,Greater Water Supply Scheme For Central Hunza from Attabad Lake,36.3369,74.8675,Hunza
313,2.4001E+13,9053,"Establishment of Mountaineering Institute Shigar, Gilgit Baltistan",35.476378,75.697504,Shigar
437,4.19807E+13,6022,Strengthening of Labs and Research Facilities at Public Sector Universities,,,Multiple Province
443,4.19807E+13,9209,"Allama Muhammad Iqbal Scholarships for Bangladesh, Uzbekistan and Friendly Countries, HEC",,,Multiple Province
444,4.19807E+13,9210,Construction of New Academic Block at Emerson University Multan,,,Multiple Province
445,4.10107E+13,8376,Development of University of Okara,,,Multiple Province
446,4.19807E+13,9211,Establishing a campus of Pakistan Institute of Fashion Design at Karachi,,,Multiple Province
447,4.19807E+13,9212,"Establishment of National Institute of Science & Technology, Rajanpur (PM Directive)",,,Multiple Province
448,4.19807E+13,9213,"Establishment of NCA Karachi Campus, Karachi",,,Multiple Province
449,4.19807E+13,9214,Hostels for UET Lahore and Sub-Campuses,,,Multiple Province
450,4.19807E+13,9215,Pak-UK Education Gateway (Phase-II)-HEC,,,Multiple Province
451,4.19807E+13,9216,"Prime Minister's Scheme for Enabling Youth with Physical Challenges at HEIs through Electric Wheelchairs, Laptops for Blinds, Audio-Visual Aids-HEC",,,Multiple Province
452,4.19807E+13,9217,University Campus at Muzaffargarh,,,Multiple Province
453,4.19807E+13,9218,"UVAS Campus, Pattoki",,,Multiple Province
454,4.19807E+13,9219,Strengthening of Academic and Research Programs at Bahria University Lahore Campus,,,Multiple Province
456,1.70206E+13,8937,Hyderabad Urban Infrastructure Development Package(Revamping & Rehabilitation),25.4443,68.3813,Hyderabad
459,1.70206E+13,2886,Improvement/Re-Habilitation Of Different Roads /Streets Including Water & Sewerage System At Various Union Councils District Central Karachi,,,Karachi Central
473,1.70206E+13,6127,"Rehabilitation of Infrastructure Works (Construction of road, waterline, sewerage system, parks & playgrounds, CC-tuff) Orangi Town District West Karachi",,,Karachi West
474,1.70206E+13,6129,"Rehabilitation of Infrastructure Works (Construction of roads, footpath, water supply, sewerage, public parks & playgrounds) in Nazimabad and Liaquatabad Central Karachi",,,Karachi Central
478,1.70706E+13,8020,Construction of Federal Election Academy and other offices of election Commission of Pakistan,33.73514714,73.0937487,Islamabad
480,1.70006E+13,9220,Construction of RCC Pre-Stressed Bridge Mari Safdar Shah at Siren River UC Behrkund Tehsil & District Mansehra,34.3327,73.1972,Mansehra
481,1.70006E+13,9221,Construction of RCC Pre-Stressed Bridge at Shah Da Panja at Siren River UC Behrkund Tehsil & District Mansehra,34.3327,73.1972,Mansehra
491,1.90708E+13,3730,Strengthening the Engineering Industry (SEI),33.7319,73.0922,Islamabad
493,1.90006E+13,8977,"Development of Block-A (500 acres) of Phase-I (1500 acres) of The Karachi Industrial Park (Federal SEZ) on Approx. 6400 Acres of Pakistan Steel Mills Land, Karachi",,,Malir
494,1.90008E+13,8432,1000 Industrial Stitching Units (Phase-II),33.709162,73.057258,Islamabad
495,2.00707E+13,7775,CENTRAL MONITORING UNIT,33.69723,73.06817,Islamabad
503,2.00007E+13,8627,REHABILITATION & UP-GRADATION OF GILGIT AND SKARDU RADIO STATIONS (REPLACEMENT OF 50-KW MW TRANSMITTERS),35.26491,75.85228,Gilgit
504,2.00007E+13,8633,SAUTUL QURAN FM RADIO NETWORK PHASE-IV (PESHAWAR-KARACHI MOTORWAYS),34.01364,71.523063,Multiple Province
511,2.19908E+13,6534,"Prime Minister's Initiatives - Support for IT Startups, Specialized IT Trainings and Venture Capital",,,Islamabad
515,2.10008E+13,7888,National Semiconductor HR Development Program (NSHRDP)PHASE-I,33.73514714,73.0937487,Multiple Province
516,2.19908E+13,8054,Revamping IT Industry Landscape',33.73514714,73.0937487,Multiple Province
517,2.19808E+13,8662,National Artificial Intelligence (AI) Advancement Initiative (NAAI),33.6996,73.0362,Multiple Province
518,2.19908E+13,8428,GDPR-Driven ISO Compliance & IT Exports Enhancement Program,,,Islamabad
519,2.10008E+13,9191,Smart Islamabad Initiative,,,Islamabad
524,2.30709E+13,8052,"Providing and Installation of Electronic Displays and Scoring System of Different Sports Facilities at Pakistan Sports Complex, Islamabad and PSB Coaching Centers",33.706009,73.093911,Islamabad
527,2.30009E+13,9152,Construction of High Altitude PSB Coaching Centre at Skardu,35.3,75.6167,Skardu
528,2.30009E+13,9153,"Establishment of Arshad Nadeem / Shahbaz Sharif High Performance Sports Academy at Pakistan Sports Complex, Islamabad",33.738045,73.084488,Islamabad
529,2.30009E+13,9148,Construction of Multipurpose Sports Hall at Faisalabad,31.4273,73.1166,Faisalabad
543,2.20006E+13,8470,Construction of Model Addiction treatment & Rehabilitation Center (Matric) at Humak Islamabad,,,Islamabad
544,2.29806E+13,9188,Digital Economy Enhancement (DEEP),,,Multiple Province
545,2.20708E+13,7951,"Extension of Safe City, Islamabad",,,Islamabad
546,2.20006E+13,9189,Islamabad Infrastructure Development,,,Islamabad
547,2.20006E+13,9190,International Standard Purpose Build Conventional Forensics Facilities for NFA,33.6538,73.01266,Islamabad
549,2.40008E+13,9002,Hosting Community Support Program (HCSP),33.673,72.9841,Islamabad
554,2.50206E+13,443,"Construction of New Building for Supreme Court, Branch Registry at Karachi ""Construction of Federal Courts/Tribunals Complex at Karachi""",24.855665,67.02448,Karachi Central
555,2.50708E+13,2202,"Strengthening and Capacity Enhancement of Legal Wings of Ministry of Law and Justice and Federal Ministries/Division, Islamabad (Revised)",33.733343,73.094455,Islamabad
557,2.50006E+13,9192,Construction of Admin Block of Supreme Court Branch Registry at Quetta,30.200883,67.001424,Quetta
558,2.50006E+13,8494,"Expansion of Supreme Court, Branch Registry at Karachi",,,Karachi Central
559,2.50006E+13,8476,"Construction of Office of the Attorney General of Pakistan, Office of Advocate/ Prosecutor General and other Allied Offices in connection with Supreme Court of Pakistan (PC-II), Islamabad",,,Islamabad
564,3.20006E+13,8488,Construction of Eastbay Expressway Phase-II,,,Gwadar
565,3.20006E+13,8484,Infrastructure Works of Off-Dock Terminal at Gwadar,,,Gwadar
573,2.79808E+13,8765,"National Program for Animal Disease Surveillance, FMD Control and Animal Track and Traceability – in Compliance with National and International Standards",33.738,73.0845,Multiple Province
574,2.79808E+13,8968,National Agriculture Productivity Enhancement Program - Feasibility and Project,33.678,73.125,Multiple Province
575,2.79808E+13,8030,Pakistan Model Agricultural Research Centre (Feasibility Study),30.3753,69.3451,Multiple Province
576,2.70008E+13,9186,"Establishment of Agriculture Research Institute (ARI) Sheikhupura, Punjab",31.7131,73.9783,Sheikhupura
577,2.79808E+13,8908,Pakistan’s National Sugar & Sugarcane Monitoring System: A Digital Revolution for Sustainable Growth & Production Efficiency,33.7351738,73.093865,Multiple Province
578,2.70008E+13,8846,Financial Incentive Program for Sustainable Agri-business and Aquaculture Development,33.7351738,73.093865,Islamabad
579,2.70008E+13,8949,Revival of Cotton in Pakistan: Innovation for a sustainable future,30.148,71.44,Multan
580,2.70008E+13,8864,"PAK-SAR-ZAMEEN CARD (PSZC): Integrating GIS and Remote Sensing for Sustainable, Digitally Advanced, and Financially Inclusive Agriculture in Pakistan",32.785,71.265,Multiple Province
596,2.80007E+13,6930,One Health Workforce Development and Coordination towards Pandemic Readiness (Public Private Partnership Initiative),,,Islamabad
601,2.80007E+13,8975,"Jinnah Medical Complex and Research Centre, Islamabad",,,Islamabad
607,4.30008E+13,7837,"Designing and Construction of of Iqbal National Monument and Library Complex, Islamabad.",33.7017,73.0228,Islamabad
608,4.39807E+13,8574,"Establishment of Allama Iqbal Culture and Research Center, Sialkot. Iqbal Academy Lahore.",,,Multiple Province
609,4.39807E+13,8559,"Establishment of National Cultural Heritage Institute of Pakistan, Islamabad (Grant in Aid), Department of Archaeology and Museum (DOAM).",,,Multiple Province
610,4.39807E+13,8605,"Revamping / Renovation of Aiwan-e-Nawardat-e-Quiad-i-Azam (Quaid's Museum) at Mazar-e-Quaid, Karachi (Quaid-i-Azam Mazar Management Board).",,,Multiple Province
614,4.40008E+13,8447,NILOP-PIEAS Emerging Technologies,33.65824,73.25836,Islamabad
615,4.40008E+13,8453,Establishment of Medical Isotopes (Luticium & Technecium) Facility,33.65316,73.25842,Islamabad
616,4.40008E+13,8532,Speed Breeding Platform for Development of Climate Smart Hybrids of Crops,31.39913,73.03314,Faisalabad
622,3.10708E+13,49,"Strengthening of Ministry of Planning, Development & reforms in IT",33.736111,73.092833,Islamabad
630,3.10708E+13,61,Center of Excellence for China-Pakistan Economic Corridor (CoE-CPEC) [2nd Revised],33.749221,73.138725,Islamabad
631,3.10008E+13,9185,CPEC Secretariat,33.7119,73.0575,Islamabad
636,3.10708E+13,6051,Rising Together Project for the uplift of 20 poorest Districts of Pakistan (50:50),,,Islamabad
639,3.10008E+13,9223,Apex Sub-Committee on Socio-Political Domain's Peace & Development and Support Unit,,,Islamabad
647,1.10206E+13,3623,220/132 Kv GIS Substation Dhabeji GoP Grant,,,Thatta
665,1.19906E+13,1219,Now 220KV Transmission System Network Reinforcement in Islamabad & Burhan,,,Multiple Province
682,1.10406E+13,6632,"i) Electricity Distribution Efficiency Improvement Project (EDEIP), Component IV ii) Power Division iii) The World Bank ( Loan signed on 23-12-2021 but Loan became effective from 15-08-2022)",,,Islamabad
683,1.10106E+13,3614,500kV Chakwal G/S along with allied Transmission line,,,Chakwal
684,1.10406E+13,4107,Evacuation of power from 816MW Mohmand Dam Hydro Power Plant to the National Grid,,,Mansehra
685,1.10406E+13,3607,220-KV Jamrud G/S alongwith allied T/Ls. ,,,Peshawar
686,1.10306E+13,1163,Construction of 33 KV Grid Station in Gurak Area Nall District Khuzdar (QESCO),,,Khuzdar
707,3.50406E+13,1629,Up-gradation of Pakistan Railways existing Main Line-1 (ML-1) and Establishment of Dryport near Havelian (CPEC),,,Multiple Province
719,3.50006E+13,8555,Feasibility Study for Trans Afghan Rail connectivity from Kharlachi (Pakistan) to Mazar-e-Shairf (Afghanistan) via Logar (677 Kms Approx.),,,Hangu
722,4.70006E+13,8332,"Construction of Customs Complex at Sost (Part A) and Construction of Customs Digital Enforcement Stations by FBR along rivers Indus, Hub and in Balochistan (Part B) (Revised).",36.6572,74.8449,Hunza
731,3.70107E+13,1229,Cultivation and Processing of Medicinal and Industrial Cannabis on Experimental Fields and Establishment of testing and product development facilities (PCSIR and Arid Agriculture University),,,Multiple Province
758,4.80006E+13,8119,Development of Pakistan Lunar Exploration Rover (PLExR) for Chang’E-8 Mission,33.518837,73.176727,Multiple Province
759,4.89808E+13,8436,Pakistan Manned Space Mission,31.479706,74.264326,Multiple Province
765,4.00506E+13,1410,Refurbishment & Upgradation of Generation Units of Mangla Power Station (310 MW) ,,,Mirpur
